kingdom	phylum	cls	order	family	genus	species	common_name	filepath	class
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	tranquebarica		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/tranquebarica/3f61b2b7-0627-4563-a636-eb6c2f734c86.png	Cicindela tranquebarica
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Anisodactylus	rusticus		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Anisodactylus/rusticus/16ef4219-7df5-4918-b6fb-31e3122f9e6e.png	Anisodactylus rusticus
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Harpalus	pensylvanicus		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Harpalus/pensylvanicus/e137c117-b561-4479-936b-f34fef43f0a0.png	Harpalus pensylvanicus
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Harpalus	pensylvanicus		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Harpalus/pensylvanicus/4479163c-c8a9-49f6-8dba-f76517618712.png	Harpalus pensylvanicus
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Poecilus	chalcites		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Poecilus/chalcites/f116b6d7-696c-4b25-ad5c-46383757c15a.png	Poecilus chalcites
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Chlaenius	tricolor		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Chlaenius/tricolor/4c8af361-9f84-4faf-bae9-588fa02c5cde.png	Chlaenius tricolor
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Chlaenius	tricolor		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Chlaenius/tricolor/aebabfe2-c1a3-4c9a-a80b-e397e4e0a2d3.png	Chlaenius tricolor
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cymindis	limbata		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cymindis/limbata/0b4c293c-5e93-4c02-a77a-795853f0610a.png	Cymindis limbata
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	sexguttata		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/sexguttata/5f13da6e-da8c-422b-bf39-9d9f51ade1e6.png	Cicindela sexguttata
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Tetracha			Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Tetracha/82b5c702-1ed3-44e1-adbe-2f625afc1a17.png	
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Tetracha			Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Tetracha/42e5e1b9-77f5-4fc9-87e5-5411c0d19677.png	
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae				Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/366ebfd7-33b9-4caf-bc07-7f06ff8f6b52.png	
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	tranquebarica		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/tranquebarica/2f42637b-4fd8-491f-9f58-86f5d4aded9e.png	Cicindela tranquebarica
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	sexguttata		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/sexguttata/05678aba-bf31-4bf3-8cee-1e088484f823.png	Cicindela sexguttata
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	sexguttata		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/sexguttata/4549fa24-b9eb-415c-8ddc-cbf9b9ae0f29.png	Cicindela sexguttata
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Omophron	americanum		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Omophron/americanum/52cacd20-7d46-4459-a4b5-d28e283da999.png	Omophron americanum
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Omophron	americanum		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Omophron/americanum/4bfa2d15-afd7-4af3-85a0-c3d264d5708d.png	Omophron americanum
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Bembidion	levettei		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Bembidion/levettei/7b82006d-6b6a-4105-b51c-a74d784c06ea.png	Bembidion levettei
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Poecilus	lucublandus		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Poecilus/lucublandus/b72f5bf7-9452-474d-bec2-301ed89f83f3.png	Poecilus lucublandus
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Dicaelus	politus		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Dicaelus/politus/bd0fa3d7-d3fb-48c8-a693-35a0f40e40b5.png	Dicaelus politus
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Scarites	subterraneus		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Scarites/subterraneus/524efaf5-1ca1-4b40-804b-d675f2acbe52.png	Scarites subterraneus
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Lebia	grandis		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Lebia/grandis/d136331a-403b-4dcf-9288-a1723e90d19c.png	Lebia grandis
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Lebia	grandis		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Lebia/grandis/494528ea-60a5-43f5-a8fb-aa9c683fd759.png	Lebia grandis
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Lebia	grandis		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Lebia/grandis/059e83ca-7c9d-4a77-b737-5b50083a7129.png	Lebia grandis
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Tachyta			Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Tachyta/5c0abf34-c630-4ddc-8216-4f80160fe070.png	
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Calosoma	scrutator		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Calosoma/scrutator/0347fc56-ca38-4b85-bb16-8d8b0d6dc73e.png	Calosoma scrutator
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Calosoma	scrutator		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Calosoma/scrutator/2e176621-64a8-448b-bef1-e468302cbcd5.png	Calosoma scrutator
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Helluomorphoides	nigripennis		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Helluomorphoides/nigripennis/f1d4f714-c76f-44b1-9bd6-8bfc96ae71c2.png	Helluomorphoides nigripennis
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Harpalus	rubripes		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Harpalus/rubripes/c08a1d0a-1b79-40b7-a14c-a1423d08c1a9.png	Harpalus rubripes
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Scarites	subterraneus		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Scarites/subterraneus/7d2742f9-1737-4c5a-811d-02510a1b119d.png	Scarites subterraneus
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Scarites	subterraneus		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Scarites/subterraneus/b548107e-bbca-4009-ad8f-8fed1858f0a5.png	Scarites subterraneus
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Scarites	subterraneus		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Scarites/subterraneus/a3a74638-6fd9-473c-aab8-98a00904ee2d.png	Scarites subterraneus
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Lebia	grandis		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Lebia/grandis/65ca7edb-a365-4e5c-a462-55389bb2ee8b.png	Lebia grandis
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Badister	neopulchellus		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Badister/neopulchellus/a944696e-17c9-4b2b-99cc-7d84976e09c0.png	Badister neopulchellus
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Colliuris	caymanensis		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Colliuris/caymanensis/9a33eaa8-c2c8-49a4-9aa9-0ce2785a954e.png	Colliuris caymanensis
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Lebia	atriventris		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Lebia/atriventris/2aa255c5-7d37-4764-ab59-448ee193edd7.png	Lebia atriventris
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Lebia	viridis		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Lebia/viridis/3b8e9f90-6a95-4e72-b8ab-3139543d9101.png	Lebia viridis
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Calleida	punctata		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Calleida/punctata/db38ed0c-1dd1-4dab-bcd7-3aecf27dd299.png	Calleida punctata
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Calleida	punctata		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Calleida/punctata/dc448a5b-6012-4ecd-ac89-0a31f1034415.png	Calleida punctata
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae				Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/73a456fd-3b40-4d09-a0e3-f488610fcf16.png	
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae				Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/54944902-2335-4796-bb97-1cbddc528ce1.png	
